"Cycle","pair_id","ref_prov","other_prov","hemi_type","mean_sync","sd_across_datasets","m"
"Annual","BANGLADESH_GUADELOUPE","BANGLADESH","GUADELOUPE","Within",0.267938920345829,NA,50
"Annual","BANGLADESH_GUATEMALA","BANGLADESH","GUATEMALA","Within",0.379411174868133,NA,50
"Annual","BANGLADESH_GUYANA","BANGLADESH","GUYANA","Within",0.303172201285853,NA,50
"Annual","BANGLADESH_HONDURAS","BANGLADESH","HONDURAS","Within",0.307022526626431,NA,50
"Annual","BANGLADESH_INDIA","BANGLADESH","INDIA","Within",0.401683923601033,NA,50
"Annual","BANGLADESH_INDONESIA","BANGLADESH","INDONESIA","Within",0.041667661507103,NA,50
"Annual","BANGLADESH_JAMAICA","BANGLADESH","JAMAICA","Within",0.225545811812398,NA,50
"Annual","BANGLADESH_LAO PEOPLE'S DEMOCRATIC REPUBLIC","BANGLADESH","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Within",0.486976456143336,NA,50
"Annual","BANGLADESH_MALAYSIA","BANGLADESH","MALAYSIA","Within",0.149152732477733,NA,50
"Annual","BANGLADESH_MALDIVES","BANGLADESH","MALDIVES","Between",0.378217155385877,NA,50
"Annual","BANGLADESH_MARTINIQUE","BANGLADESH","MARTINIQUE","Within",0.135936627717686,NA,50
"Annual","BANGLADESH_MEXICO","BANGLADESH","MEXICO","Within",0.517862749925107,NA,50
"Annual","BANGLADESH_MYANMAR","BANGLADESH","MYANMAR","Within",0.437341625863229,NA,50
"Annual","BANGLADESH_NEW CALEDONIA","BANGLADESH","NEW CALEDONIA","Between",0.0545933305654536,NA,50
"Annual","BANGLADESH_NICARAGUA","BANGLADESH","NICARAGUA","Within",0.505167092755365,NA,50
"Annual","BANGLADESH_PALAU","BANGLADESH","PALAU","Within",0.184104678398688,NA,50
"Annual","BANGLADESH_PANAMA","BANGLADESH","PANAMA","Within",0.410780464027958,NA,50
"Annual","BANGLADESH_PARAGUAY","BANGLADESH","PARAGUAY","Between",0.18780415173811,NA,50
"Annual","BANGLADESH_PERU","BANGLADESH","PERU","Between",0.0441290507059675,NA,50
"Annual","BANGLADESH_PHILIPPINES","BANGLADESH","PHILIPPINES","Within",0.468524658608338,NA,50
"Annual","BANGLADESH_PUERTO RICO","BANGLADESH","PUERTO RICO","Within",0.263986064906715,NA,50
"Annual","BANGLADESH_SINGAPORE","BANGLADESH","SINGAPORE","Within",0.265895288626435,NA,50
"Annual","BANGLADESH_SRI LANKA","BANGLADESH","SRI LANKA","Within",0.133283713439579,NA,50
"Annual","BANGLADESH_SURINAME","BANGLADESH","SURINAME","Within",0.171050122571064,NA,50
"Annual","BANGLADESH_TAIWAN","BANGLADESH","TAIWAN","Within",0.471392861921979,NA,50
"Annual","BANGLADESH_THAILAND","BANGLADESH","THAILAND","Within",0.432202695580479,NA,50
"Annual","BANGLADESH_TRINIDAD AND TOBAGO","BANGLADESH","TRINIDAD AND TOBAGO","Within",0.37800436908596,NA,50
"Annual","BANGLADESH_VANUATU","BANGLADESH","VANUATU","Between",0.072499539175031,NA,50
