"od_region","Year","fit","lwr","upr"
"Europe, Middle East & North Africa",2007,2914.48214912166,1379.80463317068,6156.09340144756
"Europe, Middle East & North Africa",2008,3527.00858610741,1758.45840968502,7074.2586221892
"Europe, Middle East & North Africa",2009,4263.66368395156,2236.80383369874,8127.14451574734
"Europe, Middle East & North Africa",2010,5148.5105966881,2839.2658466513,9335.92090204334
"Europe, Middle East & North Africa",2011,6219.35121997889,3600.71353539102,10742.4068083362
"Europe, Middle East & North Africa",2012,7515.54281420273,4560.35561051931,12385.7410728727
"Europe, Middle East & North Africa",2013,9075.59077508557,5759.1647422864,14301.7870824301
"Europe, Middle East & North Africa",2014,10957.1036188118,7250.5191396766,16558.5549669667
"Europe, Middle East & North Africa",2015,13226.3510853158,9091.22975608027,19242.3211958794
"Europe, Middle East & North Africa",2016,15956.2710892038,11333.9878154542,22463.6369138321
"Europe, Middle East & North Africa",2017,19228.9261102847,14019.5441948297,26374.0100402943
"Europe, Middle East & North Africa",2018,23144.1037336181,17172.4420146538,31192.3916921885
"Europe, Middle East & North Africa",2019,27871.5191290262,20834.2269465942,37285.8364532054
"Europe, Middle East & North Africa",2020,33558.3115619447,24998.9480648965,45048.3065113409
"Europe, Middle East & North Africa",2021,40362.6162412991,29651.2924026643,54943.3315660803
"Europe, Middle East & North Africa",2022,48660.1956655644,34929.5759540218,67788.2447049401
"Europe, Middle East & North Africa",2023,58649.3314850765,40833.1073696587,84239.0967825856
"Europe, Middle East & North Africa",2024,69821.5110389873,46879.5942529079,103990.733739446
"North & Central America",1990,30383.8677087398,16900.3077750287,54625.0061970031
"North & Central America",1991,33325.0440239474,18935.2307237082,58650.3843234156
"North & Central America",1992,36547.2738762479,21211.0602679407,62972.0160573166
"North & Central America",1993,40060.6321224746,23745.8082344296,67584.738755084
"North & Central America",1994,43880.5198970119,26561.412750127,72492.3800004894
"North & Central America",1995,48042.7407987955,29693.3481630675,77731.3804689452
"North & Central America",1996,52578.5818445664,33176.1573201433,83328.1335782449
"North & Central America",1997,57523.2433771826,37048.5223924539,89313.238827159
"North & Central America",1998,62927.0274382997,41360.7566593167,95738.354470567
"North & Central America",1999,68828.4364794074,46157.5878419841,102634.342254142
"North & Central America",2000,75272.0589196834,51489.3384807613,110039.923238193
