"Cycle","hemisphere_pairing","pair_id","mean_sync"
"Annual","Between","DOMINICAN REPUBLIC_FRENCH POLYNESIA",0.142269468970012
"Annual","Between","DOMINICAN REPUBLIC_MALDIVES",0.26194566613841
"Annual","Between","DOMINICAN REPUBLIC_NEW CALEDONIA",0.12799582837523
"Annual","Between","DOMINICAN REPUBLIC_PARAGUAY",0.165276415303689
"Annual","Between","DOMINICAN REPUBLIC_PERU",0.0869978803428915
"Annual","Between","DOMINICAN REPUBLIC_VANUATU",0.154387371331847
"Annual","Between","ECUADOR_EL SALVADOR",0.231338789384964
"Annual","Between","ECUADOR_FRENCH GUIANA",0.314657824611803
"Annual","Between","ECUADOR_GUADELOUPE",0.110927131643125
"Annual","Between","ECUADOR_GUATEMALA",0.182464001721623
"Annual","Between","ECUADOR_GUYANA",0.213131923125723
"Annual","Between","ECUADOR_HONDURAS",0.185710590590622
"Annual","Between","ECUADOR_INDIA",0.0869870506057391
"Annual","Between","ECUADOR_INDONESIA",0.327842654085432
"Annual","Between","ECUADOR_JAMAICA",0.0845100332850863
"Annual","Between","ECUADOR_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.205882815499813
"Annual","Between","ECUADOR_MALAYSIA",0.178284338730952
"Annual","Between","ECUADOR_MARTINIQUE",0.195755260728292
"Annual","Between","ECUADOR_MEXICO",0.121456784136952
"Annual","Between","ECUADOR_MYANMAR",0.230672047503953
"Annual","Between","ECUADOR_NICARAGUA",0.111851112247963
"Annual","Between","ECUADOR_PALAU",0.18994519979029
"Annual","Between","ECUADOR_PANAMA",0.113123226240808
"Annual","Between","ECUADOR_PHILIPPINES",0.143803334947643
"Annual","Between","ECUADOR_PUERTO RICO",0.0983356891892608
"Annual","Between","ECUADOR_SINGAPORE",0.178916297350827
"Annual","Between","ECUADOR_SRI LANKA",0.180733468455072
"Annual","Between","ECUADOR_SURINAME",0.176445978677408
"Annual","Between","ECUADOR_TAIWAN",0.0863977982035805
"Annual","Between","ECUADOR_THAILAND",0.233665078787479
"Annual","Between","ECUADOR_TRINIDAD AND TOBAGO",0.0645776255500101
"Annual","Between","ECUADOR_VENEZUELA",0.146880511498135
"Annual","Between","ECUADOR_VIET NAM",0.114904472371109
"Annual","Between","EL SALVADOR_FIJI",0.119901104342702
"Annual","Between","EL SALVADOR_FRENCH POLYNESIA",0.108229198646226
"Annual","Between","EL SALVADOR_MALDIVES",0.284939619533696
"Annual","Between","EL SALVADOR_NEW CALEDONIA",0.0888744485778522
"Annual","Between","EL SALVADOR_PARAGUAY",0.0559934346815439
"Annual","Between","EL SALVADOR_PERU",0.10863660437279
"Annual","Between","EL SALVADOR_VANUATU",0.154929865628556
"Annual","Between","FIJI_FRENCH GUIANA",0.307507509637913
"Annual","Between","FIJI_GUADELOUPE",0.148207116737669
"Annual","Between","FIJI_GUATEMALA",0.112087025022744
"Annual","Between","FIJI_GUYANA",0.178639493077776
"Annual","Between","FIJI_HONDURAS",0.136587134439152
"Annual","Between","FIJI_INDIA",0.0811525169590738
"Annual","Between","FIJI_INDONESIA",0.362962486758344
"Annual","Between","FIJI_JAMAICA",0.185859120797051
"Annual","Between","FIJI_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.093998669031965
"Annual","Between","FIJI_MALAYSIA",0.136973588755842
"Annual","Between","FIJI_MARTINIQUE",0.203407021251812
"Annual","Between","FIJI_MEXICO",0.0623553817957069
"Annual","Between","FIJI_MYANMAR",0.125555491546969
"Annual","Between","FIJI_NICARAGUA",0.0818418886863269
"Annual","Between","FIJI_PALAU",0.189461108720572
"Annual","Between","FIJI_PANAMA",0.0703447471167891
"Annual","Between","FIJI_PHILIPPINES",0.0623341338267473
"Annual","Between","FIJI_PUERTO RICO",0.130751931081744
"Annual","Between","FIJI_SINGAPORE",0.16972278229637
"Annual","Between","FIJI_SRI LANKA",0.14789442606078
"Annual","Between","FIJI_SURINAME",0.232984245964487
"Annual","Between","FIJI_TAIWAN",0.0535854656775429
"Annual","Between","FIJI_THAILAND",0.122682626241536
"Annual","Between","FIJI_TRINIDAD AND TOBAGO",0.0839080213775613
"Annual","Between","FIJI_VENEZUELA",0.172233372590081
"Annual","Between","FIJI_VIET NAM",0.0469325418182536
"Annual","Between","FRENCH GUIANA_FRENCH POLYNESIA",0.214435314474034
"Annual","Between","FRENCH GUIANA_MALDIVES",0.18403541738584
"Annual","Between","FRENCH GUIANA_NEW CALEDONIA",0.341389685221478
"Annual","Between","FRENCH GUIANA_PARAGUAY",0.268340537261689
"Annual","Between","FRENCH GUIANA_PERU",0.323432743287285
"Annual","Between","FRENCH GUIANA_VANUATU",0.19330230330964
"Annual","Between","FRENCH POLYNESIA_GUADELOUPE",0.239416069447072
"Annual","Between","FRENCH POLYNESIA_GUATEMALA",0.131046807382145
"Annual","Between","FRENCH POLYNESIA_GUYANA",0.143940330573083
"Annual","Between","FRENCH POLYNESIA_HONDURAS",0.156931787170825
"Annual","Between","FRENCH POLYNESIA_INDIA",0.142012965509856
"Annual","Between","FRENCH POLYNESIA_INDONESIA",0.209258542271905
"Annual","Between","FRENCH POLYNESIA_JAMAICA",0.208754108859081
"Annual","Between","FRENCH POLYNESIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.0963507596064816
"Annual","Between","FRENCH POLYNESIA_MALAYSIA",0.203279341979459
"Annual","Between","FRENCH POLYNESIA_MARTINIQUE",0.277211435801736
"Annual","Between","FRENCH POLYNESIA_MEXICO",0.100322201619727
"Annual","Between","FRENCH POLYNESIA_MYANMAR",0.104357920268186
"Annual","Between","FRENCH POLYNESIA_NICARAGUA",0.115009486200273
"Annual","Between","FRENCH POLYNESIA_PALAU",0.189746409143582
"Annual","Between","FRENCH POLYNESIA_PANAMA",0.146521101674652
"Annual","Between","FRENCH POLYNESIA_PHILIPPINES",0.127796251222113
"Annual","Between","FRENCH POLYNESIA_PUERTO RICO",0.192469694239366
"Annual","Between","FRENCH POLYNESIA_SINGAPORE",0.197846987734437
"Annual","Between","FRENCH POLYNESIA_SRI LANKA",0.190593879180736
"Annual","Between","FRENCH POLYNESIA_SURINAME",0.203598571652443
"Annual","Between","FRENCH POLYNESIA_TAIWAN",0.116873836575425
"Annual","Between","FRENCH POLYNESIA_THAILAND",0.100590587145428
"Annual","Between","FRENCH POLYNESIA_TRINIDAD AND TOBAGO",0.173915476817161
"Annual","Between","FRENCH POLYNESIA_VENEZUELA",0.176368710169596
"Annual","Between","FRENCH POLYNESIA_VIET NAM",0.113783161466884
"Annual","Between","GUADELOUPE_MALDIVES",0.148690177475162
"Annual","Between","GUADELOUPE_NEW CALEDONIA",0.145405181355677
"Annual","Between","GUADELOUPE_PARAGUAY",0.246951809259508
"Annual","Between","GUADELOUPE_PERU",0.178336177181462
"Annual","Between","GUADELOUPE_VANUATU",0.130922680018069
"Annual","Between","GUATEMALA_MALDIVES",0.269139590276841
"Annual","Between","GUATEMALA_NEW CALEDONIA",0.090388784743366
"Annual","Between","GUATEMALA_PARAGUAY",0.0751644828618461
"Annual","Between","GUATEMALA_PERU",0.0926620185420577
"Annual","Between","GUATEMALA_VANUATU",0.126854640451851
"Annual","Between","GUYANA_MALDIVES",0.37471841296843
"Annual","Between","GUYANA_NEW CALEDONIA",0.141021432535063
"Annual","Between","GUYANA_PARAGUAY",0.248240261520501
"Annual","Between","GUYANA_PERU",0.152912675369696
"Annual","Between","GUYANA_VANUATU",0.14167357925493
"Annual","Between","HONDURAS_MALDIVES",0.26286211153426
"Annual","Between","HONDURAS_NEW CALEDONIA",0.116705615047132
"Annual","Between","HONDURAS_PARAGUAY",0.112558561543402
"Annual","Between","HONDURAS_PERU",0.109359731367316
"Annual","Between","HONDURAS_VANUATU",0.161742506838758
"Annual","Between","INDIA_MALDIVES",0.201414950113141
"Annual","Between","INDIA_NEW CALEDONIA",0.0902682328323822
"Annual","Between","INDIA_PARAGUAY",0.120232302610564
"Annual","Between","INDIA_PERU",0.0924912418429804
"Annual","Between","INDIA_VANUATU",0.0995662065770539
"Annual","Between","INDONESIA_MALDIVES",0.115643163859521
"Annual","Between","INDONESIA_NEW CALEDONIA",0.366276944968547
"Annual","Between","INDONESIA_PARAGUAY",0.317286771195188
"Annual","Between","INDONESIA_PERU",0.401017901344184
"Annual","Between","INDONESIA_VANUATU",0.237542073950303
"Annual","Between","JAMAICA_MALDIVES",0.16972918062619
"Annual","Between","JAMAICA_NEW CALEDONIA",0.140705569153786
"Annual","Between","JAMAICA_PARAGUAY",0.214044454693502
"Annual","Between","JAMAICA_PERU",0.169563067541705
"Annual","Between","JAMAICA_VANUATU",0.157750684300722
"Annual","Between","LAO PEOPLE'S DEMOCRATIC REPUBLIC_MALDIVES",0.295486779905439
"Annual","Between","LAO PEOPLE'S DEMOCRATIC REPUBLIC_NEW CALEDONIA",0.113300420372615
"Annual","Between","LAO PEOPLE'S DEMOCRATIC REPUBLIC_PARAGUAY",0.0638608574147088
"Annual","Between","LAO PEOPLE'S DEMOCRATIC REPUBLIC_PERU",0.0991876430655111
"Annual","Between","LAO PEOPLE'S DEMOCRATIC REPUBLIC_VANUATU",0.142424903610746
"Annual","Between","MALAYSIA_MALDIVES",0.143268369612769
"Annual","Between","MALAYSIA_NEW CALEDONIA",0.170489217248085
"Annual","Between","MALAYSIA_PARAGUAY",0.15843646594788
"Annual","Between","MALAYSIA_PERU",0.154965821112557
"Annual","Between","MALAYSIA_VANUATU",0.182900999257599
"Annual","Between","MALDIVES_MARTINIQUE",0.0898747795443985
"Annual","Between","MALDIVES_MEXICO",0.23128407906109
"Annual","Between","MALDIVES_MYANMAR",0.285194774644507
"Annual","Between","MALDIVES_NICARAGUA",0.283909493022156
"Annual","Between","MALDIVES_PALAU",0.237511367624621
"Annual","Between","MALDIVES_PANAMA",0.252057031585001
"Annual","Between","MALDIVES_PHILIPPINES",0.268409296162243
"Annual","Between","MALDIVES_PUERTO RICO",0.170118832987038
"Annual","Between","MALDIVES_SINGAPORE",0.214663945611249
"Annual","Between","MALDIVES_SRI LANKA",0.18484283886718
"Annual","Between","MALDIVES_SURINAME",0.177136350292664
"Annual","Between","MALDIVES_TAIWAN",0.187248620214541
"Annual","Between","MALDIVES_THAILAND",0.278300615442219
"Annual","Between","MALDIVES_TRINIDAD AND TOBAGO",0.176260931345404
"Annual","Between","MALDIVES_VENEZUELA",0.143794427462784
"Annual","Between","MALDIVES_VIET NAM",0.215792399499792
"Annual","Between","MARTINIQUE_NEW CALEDONIA",0.193845219155216
"Annual","Between","MARTINIQUE_PARAGUAY",0.243883126964973
"Annual","Between","MARTINIQUE_PERU",0.288977534485043
"Annual","Between","MARTINIQUE_VANUATU",0.152122277453295
"Annual","Between","MEXICO_NEW CALEDONIA",0.052450312106466
"Annual","Between","MEXICO_PARAGUAY",0.0924745187133978
"Annual","Between","MEXICO_PERU",0.056164933438958
"Annual","Between","MEXICO_VANUATU",0.0678389708402925
"Annual","Between","MYANMAR_NEW CALEDONIA",0.135433534165459
"Annual","Between","MYANMAR_PARAGUAY",0.0699209994875168
"Annual","Between","MYANMAR_PERU",0.130450700625043
"Annual","Between","MYANMAR_VANUATU",0.154900526365982
"Annual","Between","NEW CALEDONIA_NICARAGUA",0.073697619167533
"Annual","Between","NEW CALEDONIA_PALAU",0.260465525990329
"Annual","Between","NEW CALEDONIA_PANAMA",0.0814554201968331
"Annual","Between","NEW CALEDONIA_PHILIPPINES",0.0718945980317322
"Annual","Between","NEW CALEDONIA_PUERTO RICO",0.155340806893925
"Annual","Between","NEW CALEDONIA_SINGAPORE",0.104459277653281
"Annual","Between","NEW CALEDONIA_SRI LANKA",0.145607982362995
"Annual","Between","NEW CALEDONIA_SURINAME",0.253523133353238
"Annual","Between","NEW CALEDONIA_TAIWAN",0.0820168710280094
"Annual","Between","NEW CALEDONIA_THAILAND",0.149682918231368
"Annual","Between","NEW CALEDONIA_TRINIDAD AND TOBAGO",0.0771988858170095
"Annual","Between","NEW CALEDONIA_VENEZUELA",0.142166834155741
"Annual","Between","NEW CALEDONIA_VIET NAM",0.0690149851780311
"Annual","Between","NICARAGUA_PARAGUAY",0.109768798228644
"Annual","Between","NICARAGUA_PERU",0.0689426479165864
"Annual","Between","NICARAGUA_VANUATU",0.11396862181786
"Annual","Between","PALAU_PARAGUAY",0.163977438536916
"Annual","Between","PALAU_PERU",0.183082173835056
"Annual","Between","PALAU_VANUATU",0.219386401983317
"Annual","Between","PANAMA_PARAGUAY",0.137755028959925
"Annual","Between","PANAMA_PERU",0.0739386550689303
"Annual","Between","PANAMA_VANUATU",0.162732403605687
"Annual","Between","PARAGUAY_PHILIPPINES",0.0867443001139027
"Annual","Between","PARAGUAY_PUERTO RICO",0.189103843803176
"Annual","Between","PARAGUAY_SINGAPORE",0.0585354295037339
"Annual","Between","PARAGUAY_SRI LANKA",0.138718400972265
"Annual","Between","PARAGUAY_SURINAME",0.305576665300813
"Annual","Between","PARAGUAY_TAIWAN",0.0911520722636543
"Annual","Between","PARAGUAY_THAILAND",0.0893620062019118
"Annual","Between","PARAGUAY_TRINIDAD AND TOBAGO",0.131284718067838
"Annual","Between","PARAGUAY_VENEZUELA",0.208509240640546
"Annual","Between","PARAGUAY_VIET NAM",0.0823926234697913
"Annual","Between","PERU_PHILIPPINES",0.0624227047994522
"Annual","Between","PERU_PUERTO RICO",0.136986002243067
"Annual","Between","PERU_SINGAPORE",0.0998388099284312
"Annual","Between","PERU_SRI LANKA",0.168847307990401
"Annual","Between","PERU_SURINAME",0.255336173917591
"Annual","Between","PERU_TAIWAN",0.0847403641712963
"Annual","Between","PERU_THAILAND",0.13525209784656
"Annual","Between","PERU_TRINIDAD AND TOBAGO",0.112986801697137
"Annual","Between","PERU_VENEZUELA",0.181692510870125
"Annual","Between","PERU_VIET NAM",0.0541099417512997
"Annual","Between","PHILIPPINES_VANUATU",0.116928044105075
"Annual","Between","PUERTO RICO_VANUATU",0.133407203399815
"Annual","Between","SINGAPORE_VANUATU",0.182844201533317
"Annual","Between","SRI LANKA_VANUATU",0.169047417885294
"Annual","Between","SURINAME_VANUATU",0.157737205648946
"Annual","Between","TAIWAN_VANUATU",0.141587508720908
"Annual","Between","THAILAND_VANUATU",0.162817028773878
"Annual","Between","TRINIDAD AND TOBAGO_VANUATU",0.110817267931644
"Annual","Between","VANUATU_VENEZUELA",0.165003089454088
"Annual","Between","VANUATU_VIET NAM",0.0917330303749081
"Annual","Within","ARGENTINA_AUSTRALIA",0.360171960169327
"Annual","Within","ARGENTINA_BOLIVIA",0.430644673020516
"Annual","Within","ARGENTINA_BRAZIL",0.54019282220247
"Annual","Within","ARGENTINA_ECUADOR",0.354235824011342
"Annual","Within","ARGENTINA_FIJI",0.366620181439823
"Annual","Within","ARGENTINA_FRENCH POLYNESIA",0.210147130030918
"Annual","Within","ARGENTINA_MALDIVES",0.316791416376109
"Annual","Within","ARGENTINA_NEW CALEDONIA",0.343856221375528
"Annual","Within","ARGENTINA_PARAGUAY",0.438893339509447
"Annual","Within","ARGENTINA_PERU",0.406792318228621
"Annual","Within","ARGENTINA_VANUATU",0.258550019080805
"Annual","Within","AUSTRALIA_BOLIVIA",0.419522724958777
"Annual","Within","AUSTRALIA_BRAZIL",0.393782620848065
"Annual","Within","AUSTRALIA_ECUADOR",0.356520505406368
"Annual","Within","AUSTRALIA_FIJI",0.265885458410213
"Annual","Within","AUSTRALIA_FRENCH POLYNESIA",0.261556677483917
"Annual","Within","AUSTRALIA_MALDIVES",0.1784545521338
"Annual","Within","AUSTRALIA_NEW CALEDONIA",0.299865967996311
"Annual","Within","AUSTRALIA_PARAGUAY",0.302003794990432
"Annual","Within","AUSTRALIA_PERU",0.335158765714061
