"threshold","variant","Cycle","Pair_Type","Weighting","N_pairs","Start_Year","End_Year","Sync_Start","Sync_End","Pct_Change_Per_Year","CI_Lower","CI_Upper","Trend_P","Interaction_P","Diff_vs_Americas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum","Cum_CI_Lower","Cum_CI_Upper","m","Within_SD_logitslope","Between_SD_logitslope","FMI","N_Inc","N_Tot","Pct_Inc"
"20%","per_threshold","Annual","Within Asia","pairs",189,1992,2022,0.154399395565809,0.190810395094134,0.786078196634001,-0.379929090515823,2.41510527400242,0.21065768850047,0.62152921997318,-0.578683614102733,-3.1315575816999,1.70246045749466,23.58234589902,-11.3978727154747,72.4531582200725,50,0.00588805272053507,0.00337761172027675,0.251296353258259,10,82,12.1951219512195
"20%","per_threshold","Annual","Americas-Asia","pairs",492,1992,2022,0.114855582185229,0.186148432108621,2.06905775545784,0.771682338246768,3.81843262148012,0.000398393270698976,0.569648477109445,0.704295944721103,-1.75303174047716,2.92784300540069,62.0717326637351,23.150470147403,114.552978644404,50,0.00440369093950428,0.0029208547740037,0.309740910751422,6,56,10.7142857142857
"20%","per_threshold","Multiannual","Global","pairs",795,1992,2022,0.0654884793282129,0.291990294594193,11.52883772278,7.58888954439403,16.3795818669705,4.22879768193987e-21,NA,NA,NA,NA,345.8651316834,227.666686331821,491.387456009114,50,0.00437662489942977,0.00396898794313468,0.456180006889859,30,110,27.2727272727273
"20%","per_threshold","Multiannual","Within Americas","pairs",221,1992,2022,0.0348830675060257,0.322695389007531,27.5025814412479,12.1877259724299,57.0229960385194,1.07410066660757e-11,NA,NA,NA,NA,825.077443237436,365.631779172896,1710.68988115558,50,0.00932765788284862,0.00769421279610739,0.409694520403676,0,11,0
"20%","per_threshold","Multiannual","Within Asia","pairs",167,1992,2022,0.112830253141553,0.309591355588202,5.81289435437137,2.66007979150046,11.0282332063262,1.42894633873054e-06,0.00315054597041079,-21.6896870868765,-51.2825213425282,-5.58617012571556,174.386830631141,79.8023937450138,330.846996189787,50,0.00740389783817566,0.00440398007911813,0.265184590138154,13,55,23.6363636363636
"20%","per_threshold","Multiannual","Americas-Asia","pairs",407,1992,2022,0.0626818940355238,0.268095446802185,10.9235984823223,6.18148634992896,18.2612851658544,1.43685776332839e-12,0.0292524519720308,-16.5789829589255,-45.8111637829147,-0.189415969731581,327.70795446967,185.444590497869,547.838554975631,50,0.00601682236237141,0.00474688018714713,0.388329218012971,17,44,38.6363636363636
"30%","per_threshold","Annual","Global","pairs",1022,1992,2022,0.116608038323913,0.184984988291496,1.95460938915281,1.00736069840066,3.04293791126558,8.17385317657003e-07,NA,NA,NA,NA,58.6382816745842,30.2208209520199,91.2881373379674,50,0.00307325772066981,0.00202052046545311,0.305983746553533,18,201,8.95522388059701
"30%","per_threshold","Annual","Within Americas","pairs",300,1992,2022,0.13822152074379,0.192281754745763,1.30371000866501,-0.0804620750315362,3.37557141226581,0.0703457794421422,NA,NA,NA,NA,39.1113002599504,-2.41386225094609,101.267142367974,50,0.00622747260651944,0.0036998966208053,0.264729724864992,1,15,6.66666666666667
"30%","per_threshold","Annual","Within Asia","pairs",204,1992,2022,0.126903761098136,0.183417561473445,1.48442672584534,0.117796879651514,3.44603374303558,0.0304732949572967,0.891664967632148,0.18071671718033,-2.27621568937975,2.64493924712841,44.5328017753603,3.53390638954542,103.381012291067,50,0.00590418633066213,0.00312588619201239,0.222339420989002,10,117,8.54700854700855
"30%","per_threshold","Annual","Americas-Asia","pairs",518,1992,2022,0.100035891273904,0.181376349555207,2.71037582096702,1.31994844064384,4.63506419865143,9.42776277329375e-06,0.267668023867772,1.40666581230201,-1.01893228671889,3.71676610503912,81.3112746290106,39.5984532193151,139.051925959543,50,0.00425878515286489,0.00284419856452084,0.312683668346946,7,69,10.1449275362319
"30%","per_threshold","Multiannual","Global","pairs",875,1992,2022,0.0852129985880947,0.279624792149626,7.60493495838922,5.26055198125109,10.3346876181702,3.30104901248853e-22,NA,NA,NA,NA,228.148048751677,157.816559437533,310.040628545107,50,0.00377654221800534,0.00284415251794695,0.366494593755149,34,121,28.099173553719
"30%","per_threshold","Multiannual","Within Americas","pairs",274,1992,2022,0.0583099134104366,0.295284736262947,13.5468573004887,7.31179182119424,23.7496133368147,1.02866848285071e-12,NA,NA,NA,NA,406.40571901466,219.353754635827,712.48840010444,50,0.00756225184814172,0.00442704513966452,0.25901955174458,2,11,18.1818181818182
"30%","per_threshold","Multiannual","Within Asia","pairs",167,1992,2022,0.140184873486696,0.291189260407069,3.59060106758959,1.40084275695374,6.84203839149755,0.000116473276959025,0.00535561854671797,-9.9562562328991,-19.9690804446265,-2.98437395801711,107.718032027688,42.0252827086122,205.261151744927,50,0.0070031921069262,0.00374865189515931,0.226157460321434,14,62,22.5806451612903
"30%","per_threshold","Multiannual","Americas-Asia","pairs",434,1992,2022,0.0810451235434215,0.265288177204827,7.57779722398284,4.59701366016114,11.8022051501433,4.61122353181335e-13,0.101097251496732,-5.96906007650585,-15.9595033372014,1.13829331325641,227.333916719485,137.910409804834,354.066154504299,50,0.00518448642287596,0.00355753686929371,0.324448601003434,18,48,37.5
"50%","per_threshold","Annual","Global","pairs",1033,1992,2022,0.150897038924185,0.193331875412691,0.937390527807207,0.292885943205586,1.66286367282721,0.00152627730411703,NA,NA,NA,NA,28.1217158342162,8.78657829616757,49.8859101848164,50,0.00260183676872984,0.00190151884966029,0.352669245526093,18,210,8.57142857142857
"50%","per_threshold","Annual","Within Americas","pairs",300,1992,2022,0.187690882625161,0.18823488142756,0.00966125427067436,-0.851661244986014,1.20554332601694,0.985431680670827,NA,NA,NA,NA,0.289837628120231,-25.5498373495804,36.1662997805082,50,0.00534131073304443,0.00367248582310658,0.325325969847636,1,15,6.66666666666667
"50%","per_threshold","Annual","Within Asia","pairs",209,1992,2022,0.14364441903473,0.208246515882848,1.49912070565717,0.310766732607813,3.14037774221314,0.0103693798854231,0.0853297900983531,1.48945945138649,-0.19353515219431,3.29943220705853,44.973621169715,9.32300197823439,94.2113322663942,50,0.00491756152221802,0.00310199576541304,0.288694795885266,11,121,9.09090909090909
"50%","per_threshold","Annual","Americas-Asia","pairs",524,1992,2022,0.132724604661977,0.190301223384593,1.44601720907366,0.501716494954836,2.60588340485894,0.00120526227056857,0.0700929318084877,1.43635595480299,-0.0579505996426785,2.85593313345529,43.3805162722098,15.0514948486451,78.1765021457682,50,0.00358494859246475,0.00250620843420805,0.332667798057755,6,74,8.10810810810811
"50%","per_threshold","Multiannual","Global","pairs",922,1992,2022,0.125405878981209,0.306982279501024,4.82636598312969,3.5719562253361,6.28545178625321,2.5050015242617e-25,NA,NA,NA,NA,144.790979493891,107.158686760083,188.563553587596,50,0.00287787380430115,0.00186538126733153,0.299984859145642,40,168,23.8095238095238
"50%","per_threshold","Multiannual","Within Americas","pairs",282,1992,2022,0.125590473121465,0.348000650447997,5.90305330753944,3.38168587302943,9.49139992225342,3.38585745997424e-11,NA,NA,NA,NA,177.091599226183,101.450576190883,284.741997667603,50,0.00577649577040454,0.00301426795345315,0.217366807935319,3,11,27.2727272727273
"50%","per_threshold","Multiannual","Within Asia","pairs",171,1992,2022,0.150229873607251,0.304911740825463,3.43211514248268,1.65443897939881,5.94090421985195,4.34216051226605e-06,0.140809679038359,-2.47093816505676,-6.35018189987033,1.03810261940902,102.963454274481,49.6331693819643,178.227126595558,50,0.00551353925540977,0.00346830079185064,0.287556490291681,20,91,21.978021978022
"50%","per_threshold","Multiannual","Americas-Asia","pairs",469,1992,2022,0.116243920284822,0.283073711284552,4.78390011253814,3.1064755949361,6.9708687048902,1.0969531399265e-13,0.379557515788771,-1.1191531950013,-4.99004228350971,2.2619063533032,143.517003376144,93.1942678480829,209.126061146706,50,0.0039472829320754,0.00268314576428912,0.32032632990602,17,66,25.7575757575758
"none","fixed_support","Annual","Global","pairs",962,1992,2022,0.173286164052433,0.187776027863599,0.278727077267443,-0.255627845094394,0.891258665676395,0.283821761520443,NA,NA,NA,NA,8.3618123180233,-7.66883535283182,26.7377599702918,50,0.00247432975459629,0.00190593798406476,0.377026631774664,10,149,6.71140939597315
