"metric","adm_0_name","ISO_A0","od_region","m","point","lwr","upr","within_sd_log","between_sd_log"
"country_growth_since_emergence_pct","GUYANA","GUY","South America",50,49.901839856961,28.524903452252,74.8343005046485,0.078500418068607,0
"country_growth_since_emergence_pct","HAITI","HTI","Caribbean",50,25.8985087463149,-5.60056199472411,67.9081447885323,0.146911360976172,0
"country_growth_since_emergence_pct","HONDURAS","HND","North & Central America",50,5.11303989049485,1.71921652240234,8.62009689769305,0.0167452583251395,0
"country_growth_since_emergence_pct","HONG KONG","HKG","East & Southeast Asia",50,-0.603880881557406,-13.7614413905127,14.5611505468825,0.0724481049841851,0
"country_growth_since_emergence_pct","INDIA","IND","South Asia",50,13.0454598837854,6.07385550921904,20.4752663980039,0.0231758191071824,0.022260682308195
"country_growth_since_emergence_pct","INDONESIA","IDN","East & Southeast Asia",50,3.71957738688369,2.04166764017968,5.42507763836082,0.00832140288730876,0
"country_growth_since_emergence_pct","JAMAICA","JAM","Caribbean",50,9.25943268710989,3.23430799223539,15.6362052817457,0.0289413129502872,0
"country_growth_since_emergence_pct","KENYA","KEN","Sub-Saharan Africa",50,19.165513309134,-0.760812231750885,43.0928636315654,0.0933590729561587,0
"country_growth_since_emergence_pct","KIRIBATI","KIR","Pacific Islands",50,7.84767676079607,-1.45452594606296,18.0279611454817,0.0459317377432256,0.00285441244363492
"country_growth_since_emergence_pct","LAO PEOPLE'S DEMOCRATIC REPUBLIC","LAO","East & Southeast Asia",50,4.90058725359459,1.46803839533984,8.44925535344143,0.0169739967157604,0.000119086896638456
"country_growth_since_emergence_pct","MACAU","MAC","East & Southeast Asia",50,-38.3832965882163,-91.3801855829478,340.452422249953,1.00352325526362,0
"country_growth_since_emergence_pct","MALAYSIA","MYS","East & Southeast Asia",50,5.9659157108265,4.19884473157315,7.76295381547132,0.0085798167410207,5.22837053657325e-05
"country_growth_since_emergence_pct","MALDIVES","MDV","South Asia",50,4.28810655516867,0.536753050731753,8.17943526954845,0.0183248170016814,0.00364259946143998
"country_growth_since_emergence_pct","MARSHALL ISLANDS","MHL","Pacific Islands",50,15.9168465797855,3.25036829504386,30.1372144514327,0.0585150928934959,0.00777457763492011
"country_growth_since_emergence_pct","MARTINIQUE","MTQ","Caribbean",50,8.83246798559454,0.680685541816173,17.6442733190968,0.039723040904327,0
"country_growth_since_emergence_pct","MAYOTTE","MYT","Sub-Saharan Africa",50,10.1334909807387,-24.5118999474639,60.6794425500574,0.192716802263944,0.000177878305635182
"country_growth_since_emergence_pct","MEXICO","MEX","North & Central America",50,8.99566964597507,5.56436643427496,12.5385052064053,0.0163203397696476,0
"country_growth_since_emergence_pct","MICRONESIA (FEDERATED STATES OF)","FSM","Pacific Islands",50,15.5113477446291,1.99637249994453,30.8171176164905,0.0628401278057836,0.00894372472190834
"country_growth_since_emergence_pct","MONTSERRAT","MSR","Caribbean",50,-4.10678330965002,-11.7598153783357,4.20999283544987,0.0420787697257356,0.00543728483178632
"country_growth_since_emergence_pct","MYANMAR","MMR","East & Southeast Asia",50,2.85774448494185,0.786637536785939,4.97141147970248,0.0103783179316583,0
"country_growth_since_emergence_pct","NAURU","NRU","Pacific Islands",21,5.71309990246283,-9.70336839171224,23.7616430640186,0.0775189157469595,0.0208403462553605
"country_growth_since_emergence_pct","NEPAL","NPL","South Asia",50,55.2079469820848,31.8993514122201,82.6355213158526,0.0830253362107935,0
"country_growth_since_emergence_pct","NEW CALEDONIA","NCL","Pacific Islands",50,0.769167245237434,-5.16460024116316,7.07420534021039,0.0309644287877881,0.00012549241661831
"country_growth_since_emergence_pct","NICARAGUA","NIC","North & Central America",50,10.3019981517865,7.27838083884293,13.4108354464603,0.0141813288969853,5.06298469472114e-06
"country_growth_since_emergence_pct","NIUE","NIU","Pacific Islands",50,7.19450503663086,-7.79028584584754,24.6144401970345,0.0765553699937617,0.00639811183349451
"country_growth_since_emergence_pct","NORTHERN MARIANA ISLANDS","MNP","Pacific Islands",50,1.63345676173134,-13.528630100745,19.4540984533161,0.0823182716335078,0.00424364604419374
"country_growth_since_emergence_pct","OMAN","OMN","Europe, Middle East & North Africa",50,39.0023580829379,-18.7813376110947,137.896746687331,0.274161080874375,0
"country_growth_since_emergence_pct","PAKISTAN","PAK","South Asia",50,20.9225108546778,10.9080457162888,31.8412342131111,0.0441071845994794,0
