"threshold","country","ann_years_kept","mlt_years_kept","ann_mean_frac_valid","mlt_mean_frac_valid","n_years"
"30%","FRENCH GUIANA",6,0,0.132857142857143,0.0241071428571429,35
"30%","FRENCH POLYNESIA",13,4,0.310952380952381,0.112797619047619,35
"30%","GUADELOUPE",8,0,0.17,0.0196428571428571,35
"30%","GUATEMALA",10,6,0.262857142857143,0.152380952380952,35
"30%","GUYANA",9,4,0.214285714285714,0.0883928571428571,35
"30%","HONDURAS",10,6,0.262857142857143,0.152380952380952,35
"30%","INDIA",0,0,0.000952380952380952,0,35
"30%","INDONESIA",17,14,0.465714285714286,0.371428571428571,35
"30%","JAMAICA",12,6,0.294285714285714,0.152380952380952,35
"30%","LAO PEOPLE'S DEMOCRATIC REPUBLIC",25,22,0.675238095238095,0.605654761904762,35
"30%","MALAYSIA",29,27,0.793809523809524,0.728273809523809,35
"30%","MALDIVES",19,11,0.479047619047619,0.308630952380952,35
"30%","MARTINIQUE",6,0,0.120952380952381,0.00119047619047619,35
"30%","MEXICO",16,10,0.413333333333333,0.238392857142857,35
"30%","MYANMAR",6,4,0.15047619047619,0.0836309523809524,35
"30%","NEW CALEDONIA",13,3,0.302857142857143,0.094047619047619,35
"30%","NICARAGUA",23,19,0.634285714285714,0.523809523809524,35
"30%","PALAU",14,0,0.336666666666667,NA,35
"30%","PANAMA",12,6,0.299047619047619,0.162202380952381,35
"30%","PARAGUAY",16,8,0.411428571428571,0.194642857142857,35
"30%","PERU",24,20,0.662857142857143,0.552380952380952,35
"30%","PHILIPPINES",20,17,0.532380952380952,0.45922619047619,35
"30%","PUERTO RICO",10,6,0.262857142857143,0.152380952380952,35
"30%","SINGAPORE",31,27,0.862857142857143,0.732440476190476,35
"30%","SRI LANKA",21,17,0.523809523809524,0.431845238095238,35
"30%","SURINAME",10,2,0.24,0.0684523809523809,35
"30%","TAIWAN",26,22,0.720952380952381,0.612797619047619,35
"30%","THAILAND",31,27,0.862857142857143,0.732440476190476,35
"30%","TRINIDAD AND TOBAGO",2,0,0.0333333333333333,0,35
"30%","VANUATU",18,9,0.45,0.241071428571429,35
"30%","VENEZUELA",14,8,0.354285714285714,0.180059523809524,35
"30%","VIET NAM",25,23,0.701904761904762,0.648214285714286,35
"50%","ARGENTINA",15,11,0.404285714285714,0.275297619047619,35
"50%","AUSTRALIA",33,27,0.918095238095238,0.742857142857143,35
"50%","BANGLADESH",24,18,0.660952380952381,0.486309523809524,35
"50%","BARBADOS",12,7,0.301904761904762,0.1875,35
"50%","BOLIVIA",10,7,0.273333333333333,0.185714285714286,35
"50%","BRAZIL",33,27,0.903809523809524,0.742857142857143,35
"50%","CAMBODIA",24,23,0.694285714285714,0.643154761904762,35
"50%","CHINA",19,15,0.52952380952381,0.425,35
"50%","COLOMBIA",17,14,0.473333333333333,0.385714285714286,35
"50%","COSTA RICA",12,7,0.318095238095238,0.189285714285714,35
"50%","DOMINICAN REPUBLIC",13,8,0.358095238095238,0.224702380952381,35
"50%","ECUADOR",10,7,0.273333333333333,0.185714285714286,35
"50%","EL SALVADOR",19,16,0.53047619047619,0.467559523809524,35
"50%","FIJI",16,8,0.403809523809524,0.20625,35
"50%","FRENCH GUIANA",7,2,0.19,0.0690476190476191,35
"50%","FRENCH POLYNESIA",16,9,0.403809523809524,0.22797619047619,35
"50%","GUADELOUPE",12,3,0.275238095238095,0.116071428571429,35
"50%","GUATEMALA",10,7,0.273333333333333,0.185714285714286,35
"50%","GUYANA",10,5,0.260952380952381,0.131845238095238,35
"50%","HONDURAS",10,7,0.273333333333333,0.185714285714286,35
"50%","INDIA",1,0,0.0142857142857143,0,35
"50%","INDONESIA",18,15,0.501904761904762,0.414285714285714,35
"50%","JAMAICA",12,7,0.329523809523809,0.196130952380952,35
