"analysis","cycle","region","quantity","m","point","se","lwr","upr","p","df","within_sd","between_sd","fmi"
"synchrony","Multiannual","Within Asia","logit_slope_per_year",50,0.0206115325082385,0.005225881313182,0.0103305542775743,0.0308925107389026,9.82239079169708e-05,323.704558647598,0.00408466625597111,0.0032275373172302,0.389066315577185
"synchrony","Multiannual","Americas-Asia","logit_slope_per_year",50,0.0179657811665825,0.00342061515682221,0.0112265619208725,0.0247050004122925,3.38142384748965e-07,233.454667374652,0.00251795738657634,0.00229246392202618,0.45813846828002
"synchrony","Multiannual","Within Asia","logit_slope_diff_vs_Americas",50,-0.00841312931982228,0.0066985499445048,-0.021592237087535,0.00476597844789038,0.210052035612864,317.794025771373,0.00522028231264291,0.00415616998644289,0.392667697372411
"synchrony","Multiannual","Americas-Asia","logit_slope_diff_vs_Americas",50,-0.0110588806614783,0.00522679305055927,-0.0213400958818807,-0.000777665441075829,0.0350937024427376,337.314502075822,0.00411180719412252,0.00319503401309598,0.381136492944849
"hemisphere","Annual","Between","logit_mean",50,-1.8579493878682,0.061963337471697,-1.97976061233388,-1.73613816340253,9.75278864059871e-105,403.564924840849,0.0500159411209373,0.0362164087014942,0.348450693651233
"hemisphere","Annual","Within","logit_mean",50,-1.04585977678261,0.0593639367261798,-1.16283420989881,-0.928885343666399,2.25863223900712e-44,227.142879315592,0.0434428773129623,0.040058699508038,0.464460169855556
"hemisphere","Annual","Within - Between","logit_diff",50,0.812089611085598,0.0838591673518331,0.646070588724111,0.978108633447085,8.97451106827905e-17,121.167526158072,0.0505995704676183,0.0662144719196885,0.635923566186001
"hemisphere","Multiannual","Between","logit_mean",50,-1.13297153126245,0.056897717081791,-1.24454952876282,-1.02139353376208,2.43507930044243e-81,2231.42925862723,0.0525130555271147,0.0216869258600773,0.148185762224401
"hemisphere","Multiannual","Within","logit_mean",50,-1.05290197469181,0.0540130105339458,-1.15882540132864,-0.946978548054983,4.87014314754112e-78,2141.33899002048,0.0497602938565168,0.0208006047765878,0.15127087799676
"hemisphere","Multiannual","Within - Between","logit_diff",50,0.0800695565706391,0.0391942047054154,0.00319547153764894,0.156943641603629,0.0412173454431582,1696.17807027689,0.035708348994564,0.0159993717576545,0.169966103413494
